title,company,genre,year,rating,length,critic_score,number_of_critics,user_score,number_of_users,latitude,longitude,state_filmed
A Shoe Before Love,Silent Vision,Thriller,1981,G,119,12,93,5,1705,34.5881,-98.5744,Oklahoma
The Shoe But War,Solar Scratch,Comedy,1982,PG-13,73,63,42,81,1620,35.2097,-106.6526,New Mexico
The Mountain Near Thought,Yellow Dinner,Thriller,1975,G,64,44,93,88,1053,47.1116,-111.6614,Montana
A Chair Excluding Touch,Fading Shrimp,Thriller,2020,G,66,80,3,11,2153,43.9031,-94.4462,Minnesota
A Floor To Time,Minute Sand,Drama,1978,PG-13,76,43,2,18,1242,43.6522,-122.1577,Oregon
The Woman Under Consistency,Huge Fish,Drama,2002,PG,79,89,97,58,584,34.7971,-105.9799,New Mexico
A World Plus Strength,Fading Shrimp,Mystery,1993,G,109,21,5,7,2526,38.9034,-84.03549,Ohio
A Wall Without Disrespect,Yellow Dinner,Action,2010,R,104,64,97,1,928,43.0859,-115.4450,Idaho
A Cow Through Heaven,Light Box,Thriller,2010,PG,83,46,58,65,2853,32.8640,-98.9089,Texas
A Fruit After Heaven,Solar Scratch,Comedy,2000,PG,75,83,54,4,2863,38.59313,-83.30157,Kentucky
A Shirt About Feeling,Sure Way,Action,2009,R,104,15,47,34,2648,47.2930,-91.3672,Minnesota
The Shirt Regarding Respect,Solar Scratch,Comedy,1990,PG-13,105,8,64,8,808,43.54514,-70.8407,Maine
The Diamond Outside Fact,Papersoft,Horror,1990,R,80,75,45,25,1594,46.8279,-122.1791,Washington
The Rocket Above Patience,Sound Circle,Drama,2003,PG-13,77,50,79,80,708,34.2234,-91.8528,Arkansas
A Fruit Inside Control,Silent Vision,Mystery,1987,R,93,81,73,89,2673,34.9646,-80.07466,North Carolina
A Woman Barring Uncertainty,Solar Scratch,Fantasy,1974,G,99,19,90,41,908,35.10404,-80.32117,South Carolina
A Bug Per Heaven,Light Box,Action,1975,R,113,7,30,12,869,39.94396,-79.93616,Pennsylvania
The Eye On Hate,Somehow Here,Science Fiction,2012,R,118,69,82,64,2374,40.3142,-112.0796,Utah
A Pencil Regarding Life,Course Universe,Romance,2005,G,64,88,94,39,1977,48.1113,-113.9983,Montana
The Moon After Respect,Huge Fish,Musical,1988,R,67,66,53,81,217,34.1752,-118.4237,California
An Eye Following Loyalty,Yellow Dinner,Mystery,1977,PG,69,64,26,98,1339,32.13515,-89.40284,Mississippi
A Box Including Loyalty,Minute Sand,Musical,2007,PG-13,68,53,41,43,192,35.8823,-117.6278,California
A Chair In Love,Papersoft,Fantasy,1975,G,71,85,72,62,1661,36.0287,-93.2184,Arkansas
A Cat Near Respect,Solar Scratch,Drama,1998,R,104,86,86,11,1980,44.58589,-72.31566,Vermont
The Diamond Until Strength,Sure Way,Horror,2000,PG-13,102,29,22,28,595,40.80011,-87.78142,Illinois
A Nose Of Sleep,Yellow Dinner,Drama,2002,PG-13,97,57,87,87,2438,36.08125,-79.27863,North Carolina
The Moon In Life,Papersoft,Drama,2017,G,84,5,94,95,809,38.92258,-81.78819,West Virginia
The Wall Pending Rhythm,Solar Scratch,Musical,2018,PG-13,95,77,90,0,1920,66.5588,-161.7068,Alaska
The Bear At Fact,Yellow Dinner,Drama,1984,PG,97,22,14,88,1900,39.911,-75.1898,New Jersey
A Shoe Following Loss,Pulling Sally,Romance,1978,PG,109,91,55,82,986,41.03476,-87.42475,Indiana
The Thief Pending Comfort,Sure Way,Horror,1985,PG-13,112,24,5,89,788,42.38952,-75.50685,New York
A Foot Onto Fear,Huge Fish,Horror,2018,PG,110,89,99,77,2154,33.65316,-86.64777,Alabama
The Air Among Hell,Empty Mind,Action,1993,R,119,83,10,69,15,35.0944,-96.1577,Oklahoma
The Shoe Over Rhythm,Somehow Here,Romance,1978,PG,93,71,11,42,1256,37.1274,-93.7611,Missouri
A Window Aboard Loyalty,Empty Mind,Fantasy,1994,G,60,89,6,35,1701,41.82839,-79.26199,Pennsylvania
The Thief After Respect,Course Universe,Romance,1986,G,62,46,30,75,721,31.3186,-91.0816,Mississippi
The Window Among Control,Solar Scratch,Romance,1983,PG,64,33,71,82,1674,35.49313,-86.20999,Tennessee
The Air After Disrespect,Silent Vision,Drama,1987,R,89,58,39,16,2362,35.11567,-82.15011,South Carolina
A Rocket Across Despair,Solar Scratch,Fantasy,1974,R,94,96,50,95,73,36.36228,-88.1692,Tennessee
The Bear Minus Patience,Huge Fish,Fantasy,2021,R,61,79,57,73,2690,33.16072,-79.7148,South Carolina
A Road Onto Rhythm,Runaway Vehicle,Action,1996,R,85,6,7,54,1315,34.2500,-109.6271,Arizona
The Couch Within Freedom,Runaway Vehicle,Documentary,1980,PG,86,49,45,92,2699,42.6599,-120.9215,Oregon
The Woman About Patience,Minute Sand,Documentary,1974,PG-13,104,82,37,95,2001,42.7213,-120.2069,{}
A Book Against Pain,Final Cost,Documentary,2014,G,68,96,88,10,1401,39.71843,-77.60499,Maryland
The Child Through Fact,Papersoft,Romance,1993,R,93,10,22,5,245,44.5353,-96.3139,Minnesota
A Kite Unlike Freedom,Huge Fish,Action,1984,R,75,86,97,18,2822,45.3278,-116.4657,Idaho
The Thing Within Fact,Minute Sand,Thriller,2001,PG,70,23,58,86,2589,41.6151,-120.5530,California
A Box Since Consistency,Somehow Here,Romance,1997,R,61,88,77,24,130,33.96489,-78.51029,North Carolina
A Box Beside Sleep,Pulling Sally,Drama,1996,PG,117,39,7,64,107,41.9947,-123.1602,Oregon
A World Considering Feeling,Empty Mind,Horror,2006,R,60,39,93,66,1732,39.94396,-79.93616,Pennsylvania
A Diamond Upon Heaven,Somehow Here,Documentary,2021,PG,76,70,58,64,1146,26.5956,-98.4190,Texas
The Foot Like Fear,Course Universe,Action,1983,PG-13,62,5,77,32,728,33.89066,-86.94583,Alabama
The Face Since Comfort,Final Cost,Comedy,1987,PG-13,68,95,69,67,2841,44.3130,-103.2807,South Dakota
The Thing Upon Uncertainty,Course Universe,Romance,2020,R,108,79,65,19,1375,39.014,-77.52388,Virginia
A Diamond Beneath Happiness,Solar Scratch,Science Fiction,1994,R,90,0,64,53,1580,35.7964,-116.3445,California
A Flower Onto Poverty,Final Cost,Science Fiction,1990,R,96,58,22,60,75,36.71103,-86.63452,Kentucky
The Kite Through Confusion,Final Cost,Drama,1993,PG,76,41,4,11,2057,33.9016,-109.3835,Arizona
The Cow Over Loyalty,Light Box,Musical,1991,G,109,28,74,59,706,33.4687,-111.1697,Arizona
A Bear For Science,Silent Vision,Documentary,1974,PG-13,77,66,79,4,2894,42.6073,-118.4712,Oregon
The Door But Insanity,Light Box,Action,1994,PG-13,90,64,25,39,1024,28.77694,-81.27701,Florida
The Girl Off Truth,Sure Way,Mystery,1980,G,100,18,49,53,1736,32.7847,-114.9537,Arizona
The Bug For Honor,Papersoft,Horror,1992,G,81,33,15,85,494,45.6845,-122.0588,Washington
The Leg As Hate,Silent Vision,Mystery,1987,R,95,15,57,45,1103,30.0477,-89.96479,Louisiana
A Window Including Strength,Sure Way,Musical,1992,R,84,44,41,20,2935,41.2645,-95.1989,Iowa
A Shirt Concerning Hunger,Light Box,Drama,1988,G,114,47,96,52,940,42.76424,-76.97191,New York
A Bird Via Anxiety,Sound Circle,Mystery,1974,G,89,61,70,54,1181,35.1270,-96.9640,Oklahoma
A Mountain Through Clarity,Fading Shrimp,Romance,2013,R,61,92,8,81,1378,42.73639,-84.4225,Michigan
A House To Anxiety,Empty Mind,Action,1986,PG-13,111,78,0,30,716,37.5333,-120.4620,California
A Moon Following Confusion,Minute Sand,Drama,1986,G,93,85,72,11,1648,39.24061,-84.598,Ohio
A Man Amid Rhythm,Solar Scratch,Horror,1979,G,98,52,87,10,2176,30.8255,-90.4817,Louisiana
The Couch Around Despair,Sound Circle,Thriller,2019,PG,97,90,7,68,2935,37.4396,-98.3656,Kansas
The Bug Before Riches,Course Universe,Documentary,1975,R,67,25,54,5,2649,32.08049,-81.08511,Georgia
The Mouth As Loyalty,Kind Soldier,Comedy,1989,PG,93,27,82,25,1259,42.8473,-72.57981,Vermont
A Thing On Anxiety,Final Cost,Mystery,2007,PG,78,33,13,36,1444,46.4071,-109.9235,Montana
An Atmosphere Beneath Health,Solar Scratch,Action,2007,G,89,34,46,42,963,43.8827,-119.6300,Oregon
The Wall With Humor,Final Cost,Mystery,1998,PG-13,62,82,84,8,1685,33.6788,-108.4098,New Mexico
A Mountain Given Wealth,Fading Shrimp,Comedy,2010,PG-13,70,94,18,57,185,31.1309,-97.7449,Texas
A Chair Considering Time,Papersoft,Action,1991,R,77,46,14,99,2248,35.5276,-82.99458,North Carolina
An Eye From Reality,Kind Soldier,Documentary,2018,G,95,86,95,30,2902,41.3657,-96.7323,Nebraska
The Moon Amid Hell,Somehow Here,Action,2021,PG-13,99,25,51,87,1619,29.7875,-94.0927,Texas
A Window Towards Honor,Final Cost,Documentary,1999,G,68,65,81,89,323,24.55099,-81.79882,Florida
A House Amid Comfort,Runaway Vehicle,Mystery,1986,PG-13,94,29,20,79,2293,47.6361,-121.9617,Washington
The Road Underneath Insanity,Empty Mind,Comedy,2022,G,94,96,91,65,355,40.75841,-77.17665,Pennsylvania
The Glacier Beneath Hunger,Final Cost,Romance,1987,PG-13,63,33,45,87,497,42.07977,-84.86997,Michigan
A Helicopter Plus Loss,Solar Scratch,Action,1994,PG,76,77,4,56,2736,47.7876,-99.5187,North Dakota
A Window Unlike Freedom,Somehow Here,Mystery,2001,R,92,95,61,44,877,37.77067,-87.11538,Kentucky
The Mountain Before Pride,Somehow Here,Drama,2001,G,118,78,81,43,2251,34.7972,-97.1237,Oklahoma
A Bear Inside Patience,Sure Way,Drama,2008,G,108,68,55,73,1075,33.13457,-84.02852,Georgia
The Wall Toward Hell,Solar Scratch,Thriller,2009,PG,69,91,62,29,134,33.3949,-108.7791,New Mexico
A Leg As Uncertainty,Yellow Dinner,Romance,2004,G,61,59,47,94,529,40.4858,-95.4636,Iowa
The Pillow For Fragility,Course Universe,Drama,2001,PG,80,34,82,14,330,36.98894,-87.6989,Kentucky
The Finger At Space,Papersoft,Romance,1984,G,104,42,34,39,2958,60.7488,-151.4586,Alaska
An Air Versus Comfort,Kind Soldier,Musical,2016,PG,74,31,64,18,1546,37.6635,-122.7260,California
The Blade Through Honor,Final Cost,Action,2021,R,85,35,53,28,2344,39.3254,-90.3283,Illinois
A Rocket Plus Insanity,Fading Shrimp,Comedy,2006,PG-13,93,81,63,71,1748,47.3069,-114.1504,Montana
A Pencil Following Freedom,Somehow Here,Thriller,2018,PG-13,106,88,58,82,2718,46.6502,-119.4814,Washington
The Car Regarding War,Silent Vision,Romance,2008,G,81,57,66,88,2646,44.83196,-84.24251,Michigan
A Shoe For Success,Minute Sand,Action,1998,PG,93,60,95,45,2142,37.3210,-105.1644,Colorado
A Box Underneath Sleep,Pulling Sally,Science Fiction,2004,PG,61,98,60,24,2033,44.1792,-98.1652,South Dakota
A Door About Comfort,Papersoft,Drama,2008,PG-13,89,93,89,47,1155,32.6483,-94.9062,Texas
The Rocket Save Reality,Papersoft,Action,2001,PG,101,45,65,70,870,35.98706,-82.26957,North Carolina
A Bed On Freedom,Huge Fish,Musical,1993,G,83,85,32,57,589,43.7791,-92.7365,Minnesota
A Boy Unlike Feeling,Somehow Here,Mystery,2006,R,118,82,49,12,1227,33.89066,-86.94583,Alabama
A Wall Past Death,Light Box,Thriller,2011,G,78,59,75,92,1324,39.75984,-75.29658,New Jersey
The Bird Past Happiness,Light Box,Action,1984,G,65,43,31,40,2623,25.9694,-97.9811,Texas
The Mouth Toward Touch,Runaway Vehicle,Comedy,2002,R,75,54,80,40,755,32.69541,-88.89228,Mississippi
A Bug Plus Truth,Huge Fish,Thriller,2010,G,89,61,97,59,2799,33.2447,-107.9348,New Mexico
The Floor Near Despair,Pulling Sally,Romance,2014,PG,87,40,5,53,2036,38.4487,-121.4975,California
A Diamond Versus Failure,Yellow Dinner,Mystery,2018,G,84,94,4,94,1024,37.2990,-116.3475,Nevada
The Blade Until Worry,Papersoft,Drama,1991,PG-13,118,8,21,58,34,35.53917,-82.66917,North Carolina
A Girl Over Dishonesty,Silent Vision,Mystery,2007,R,103,91,99,12,2277,32.1022,-107.6602,Chihuahua
The Pillow Concerning Loss,Light Box,Musical,2010,G,93,74,3,58,2828,31.0101,-90.1716,Louisiana
A World After Time,Final Cost,Science Fiction,1999,R,116,34,57,63,2412,34.15982,-88.03198,Alabama
A Mouth Round Loss,Sure Way,Fantasy,1990,G,88,44,89,19,1719,39.6817,-88.19588,Illinois
A Book Versus Luxury,Runaway Vehicle,Musical,1977,G,99,54,23,44,2850,36.5965,-108.6541,New Mexico
The Air Amid Dishonesty,Empty Mind,Mystery,1978,PG,98,89,9,82,984,30.38724,-84.04081,Florida
A Couch Underneath Hate,Huge Fish,Thriller,2005,R,69,78,31,60,715,34.0482,-110.7233,Arizona
A Soldier Towards Hate,Final Cost,Science Fiction,1976,G,75,14,64,62,1777,42.21038,-71.01866,Massachusetts
A Cow Into Life,Somehow Here,Science Fiction,1997,PG,95,98,28,63,760,43.7988,-105.5482,Wyoming
An Alien Outside Reality,Final Cost,Mystery,1974,R,73,68,22,67,2273,29.8456,-96.9321,Texas
The Door Upon Freedom,Course Universe,Musical,1995,PG-13,102,37,45,5,1433,45.6241,-122.6907,Oregon
A Soldier Save Fragility,Fading Shrimp,Drama,1995,G,114,73,64,54,1648,61.6252,-149.6159,Alaska
The Dog As Loss,Runaway Vehicle,Thriller,2006,G,98,1,79,95,2229,40.88062,-79.95645,Pennsylvania
The Pillow In Happiness,Runaway Vehicle,Musical,1979,R,105,55,71,41,1287,30.8499,-90.2913,Mississippi
The Kite At Truth,Somehow Here,Drama,1976,R,91,52,76,9,2026,32.8499,-97.7529,Texas
A Blade Around Science,Fading Shrimp,Horror,2008,R,93,14,15,35,2655,33.6027,-95.9149,Texas
A Box With Strength,Solar Scratch,Horror,1997,G,101,73,36,23,1434,44.62005,-72.72123,Vermont
A Soldier Beyond Wisdom,Course Universe,Musical,1979,G,67,72,69,27,1877,42.11232,-72.55759,Massachusetts
The Car Among Health,Runaway Vehicle,Mystery,2008,PG,95,91,75,72,2120,41.69865,-86.88197,Indiana
A Bug Round Poverty,Pulling Sally,Action,1977,G,88,89,14,2,2545,38.56457,-79.02586,Virginia
The Finger Aboard Clarity,Huge Fish,Fantasy,1979,G,63,6,82,23,2937,36.66431,-78.57028,North Carolina
A Blade Over Reality,Fading Shrimp,Documentary,2007,G,76,65,49,21,298,35.7328,-111.6800,Arizona
The Atmosphere Versus Riches,Course Universe,Mystery,2008,PG,78,35,92,32,1497,45.9744,-122.4872,Washington
The Fruit At Health,Papersoft,Horror,2018,G,111,41,95,86,395,48.1140,-116.7056,Idaho
The Diamond Excepting Time,Runaway Vehicle,Horror,2007,PG,91,58,81,67,111,38.4381,-88.52866,Illinois
The Rocket Aboard Control,Fading Shrimp,Drama,1992,PG,114,78,3,69,1901,34.1400,-111.6910,Arizona
The Soul Following Respect,Solar Scratch,Science Fiction,1975,PG,68,40,76,66,2451,42.35974,-88.24148,Illinois
The Diamond Round Strength,Pulling Sally,Documentary,1994,PG-13,108,48,98,40,1876,37.08212,-78.00296,Virginia
The Shirt Within Death,Papersoft,Musical,2020,G,97,9,61,69,1830,39.0814,-119.0180,Nevada
A Bed With Pain,Sure Way,Horror,1991,PG-13,104,49,3,65,2212,47.6803,-93.9434,Minnesota
The Leg Before Space,Huge Fish,Thriller,2020,G,82,35,81,82,315,27.1745,-97.6869,Texas
The Lake Barring Hunger,Huge Fish,Action,2016,PG-13,95,94,75,39,382,42.21038,-71.01866,Massachusetts
The Blade Except Wealth,Huge Fish,Thriller,2003,G,67,15,74,25,120,34.8652,-90.8550,Arkansas
A House Since Uncertainty,Pulling Sally,Romance,1981,G,100,69,36,46,1712,45.5392,-123.0813,Oregon
A Boy Among Luxury,Minute Sand,Documentary,2004,G,119,79,55,81,2086,38.8707,-107.2602,Colorado
The Mouth Excluding Happiness,Final Cost,Comedy,2012,PG,72,28,25,10,1130,44.8443,-106.2027,Wyoming
A Bug On Pride,Empty Mind,Documentary,2005,PG,66,29,25,21,1217,34.00988,-79.60173,South Carolina
The Boy Unlike Luxury,Silent Vision,Documentary,1989,R,75,7,79,8,2978,35.06513,-80.67434,North Carolina
The Book Upon Luxury,Light Box,Romance,1998,PG,112,66,50,63,2505,33.3128,-116.8048,California
A Bug After Dishonesty,Pulling Sally,Romance,1986,PG,94,86,27,41,1929,43.11028,-88.41,Wisconsin
A Boy About Hell,Pulling Sally,Fantasy,1993,G,83,52,69,27,177,30.3689,-90.8418,Louisiana
The Road Amid Pride,Somehow Here,Thriller,1983,G,106,95,64,43,1230,38.4139,-103.3735,{}
The Flower Of Thought,Yellow Dinner,Science Fiction,1974,R,78,86,53,92,1616,46.6547,-95.9404,Minnesota
A House Through Reality,Sure Way,Documentary,2006,G,117,59,45,23,1320,31.4135,-87.32276,Alabama
The Diamond Beyond Calm,Empty Mind,Science Fiction,2018,PG-13,114,77,99,45,1556,48.1520,-122.7893,Washington
The Soldier After Rhythm,Fading Shrimp,Documentary,2007,PG-13,109,56,70,18,1084,29.8030,-90.3329,Louisiana
The Road Below Fiction,Silent Vision,Comedy,2019,R,85,50,82,81,1597,33.44819,-82.06067,Georgia
An Eye Given Freedom,Kind Soldier,Mystery,1981,G,115,88,73,31,1345,32.69541,-88.89228,Mississippi
A Boy Unlike Loss,Sound Circle,Thriller,1995,R,105,36,51,97,1866,33.2554,-89.35618,Mississippi
A Dog Towards Wealth,Sure Way,Comedy,2017,R,103,49,49,22,1396,39.6958,-110.0404,Utah
A Glacier Pending Reality,Yellow Dinner,Action,1977,PG,74,83,36,75,2595,43.1172,-97.2441,South Dakota
A Box Underneath Success,Sure Way,Thriller,1977,PG,69,69,68,89,2014,43.2602,-90.1746,Wisconsin
A Window For Riches,Papersoft,Horror,2014,PG,80,87,76,39,356,42.86547,-71.49932,New Hampshire
The Flower Onto Hunger,Minute Sand,Comedy,2012,PG,112,58,43,96,224,34.9214,-115.6094,California
A Thing Since Decay,Papersoft,Science Fiction,2001,G,84,0,48,23,301,34.1052,-98.7667,Texas
The Glacier Round Speed,Huge Fish,Action,2009,G,110,9,79,93,125,39.40331,-75.22993,New Jersey
A Rocket Pending Happiness,Yellow Dinner,Romance,2003,R,60,48,99,86,641,34.76787,-88.09754,Mississippi
The Child Considering Science,Solar Scratch,Horror,2014,PG,61,66,29,49,1909,33.44819,-82.06067,Georgia
A Child Like War,Runaway Vehicle,Thriller,1993,G,98,9,15,30,293,43.8523,-90.8797,Wisconsin
A Car Considering Confusion,Empty Mind,Documentary,2016,PG-13,95,89,77,60,2800,35.59313,-84.4152,Tennessee
The Kite Following Death,Sound Circle,Science Fiction,1984,PG,70,61,62,68,1518,44.6356,-91.6017,Wisconsin
The Foot Via Despair,Papersoft,Romance,2011,PG,105,45,92,70,884,44.5791,-118.3802,Oregon
A Flower Toward Respect,Huge Fish,Action,1979,G,94,90,11,59,1909,39.14427,-76.81692,Maryland
A Book Aboard Clarity,Course Universe,Romance,1998,PG,115,81,50,27,2578,34.92535,-85.24134,Georgia
The Boy Until Hunger,Final Cost,Drama,1992,PG,116,97,13,70,154,36.4837,-109.0356,Arizona
The Cat Against Hell,Runaway Vehicle,Action,2004,G,118,10,47,21,2856,28.81193,-82.64649,Florida
The Nose Onto Health,Silent Vision,Musical,1999,R,98,63,25,2,1629,29.5797,-98.6720,Texas
A Cow Except Health,Course Universe,Drama,1974,R,68,40,83,67,1333,42.68049,-74.31315,New York
The Soldier Considering Feeling,Huge Fish,Musical,2001,PG,64,98,24,50,2706,44.05105,-89.10528,Wisconsin
A Shoe Round Fragility,Final Cost,Mystery,1986,PG-13,108,48,88,94,636,40.61228,-83.21686,Ohio
The Soldier Around Respect,Yellow Dinner,Documentary,1996,G,114,90,34,4,2886,44.5015,-112.0993,Montana
A World Considering Calm,Sure Way,Thriller,2003,PG-13,110,60,7,24,1636,41.49817,-72.25428,Connecticut
A Shirt Regarding Touch,Fading Shrimp,Horror,1980,R,97,64,46,34,2372,39.2719,-93.9063,Missouri
A Bird Excepting Health,Minute Sand,Musical,2021,G,93,12,33,51,536,34.9078,-98.9434,Oklahoma
The Door Beside Insanity,Sound Circle,Science Fiction,1994,PG,109,42,1,6,2523,38.4382,-90.5346,Missouri
A Face Outside Death,Runaway Vehicle,Documentary,1993,PG,101,70,26,36,657,48.2087,-113.9734,Montana
The Thief During Pain,Kind Soldier,Horror,1992,PG,82,20,78,48,985,33.4964,-109.6621,Arizona
A Wall Since Luxury,Sound Circle,Documentary,1976,R,61,23,78,29,720,30.38381,-88.53529,Mississippi
The Dog Amid Rhythm,Papersoft,Romance,2009,G,62,67,10,55,2368,44.7824,-117.8980,Oregon
The Bed Of Respect,Course Universe,Drama,1993,R,78,36,28,60,1894,39.6520,-117.0583,Nevada
The Bear Unlike Anxiety,Runaway Vehicle,Horror,1993,R,93,63,14,90,975,66.8226,-142.1839,{}
The Moon From Riches,Papersoft,Documentary,2017,PG-13,86,15,18,94,2253,33.8279,-116.6571,California
A Soul Over Success,Somehow Here,Thriller,2013,PG-13,66,74,84,2,1943,43.98508,-74.25758,New York
A Man Save Confusion,Huge Fish,Science Fiction,2003,G,113,76,6,62,2154,44.3881,-97.3793,South Dakota
The Shoe As Speed,Runaway Vehicle,Romance,2019,PG-13,85,74,94,46,1494,42.0925,-93.4065,Iowa
A Fruit Save Riches,Pulling Sally,Action,1987,PG-13,111,95,13,92,1092,43.29083,-76.69556,New York
The Pillow Unlike Comfort,Somehow Here,Thriller,2005,PG,69,23,22,59,217,31.9790,-95.0543,Texas
A Mouth Among Hate,Yellow Dinner,Action,2015,PG-13,98,24,67,82,2198,33.2445,-97.3972,Texas
A Bug Over Confusion,Solar Scratch,Comedy,1976,PG,105,76,87,86,2069,35.9538,-97.7549,Oklahoma
A Road Inside Happiness,Silent Vision,Fantasy,2003,PG-13,73,67,66,73,467,34.6713,-113.8532,Arizona
The Airplane From Luck,Pulling Sally,Documentary,2007,R,60,56,27,92,1068,43.33784,-78.38891,New York
The Cat Past Fiction,Fading Shrimp,Documentary,1981,PG,101,49,10,18,2823,44.76366,-70.07711,Maine
The Air At Failure,Somehow Here,Action,2017,G,62,0,21,9,110,37.9599,-92.2590,Missouri
The Tree Beyond Fact,Somehow Here,Horror,1985,PG-13,102,52,35,40,1835,43.6783,-113.6434,Idaho
The Boy Upon Riches,Empty Mind,Action,2018,G,107,99,75,3,2600,42.8382,-105.8656,Wyoming
The Eye Between Feeling,Sound Circle,Fantasy,1978,R,72,15,15,41,728,47.6883,-103.8755,North Dakota
A Window Into Pain,Silent Vision,Mystery,2006,PG,96,88,95,11,1058,33.45622,-86.93666,Alabama
The Pillow Under Consistency,Papersoft,Romance,2017,R,94,69,76,26,628,39.4013,-105.7539,Colorado
The Pencil Except Touch,Huge Fish,Comedy,2020,G,109,21,91,71,253,40.3262,-74.79062,New Jersey
The Valley Considering Wisdom,Yellow Dinner,Horror,1986,PG-13,62,10,75,54,212,45.7270,-110.7326,Montana
The Soul Per Reality,Papersoft,Documentary,1984,R,78,5,20,89,2435,47.5258,-101.4973,North Dakota
The Dog Under Failure,Sound Circle,Mystery,1998,PG,85,74,65,73,885,42.4645,-95.0784,Iowa
The Bug Plus Uncertainty,Sure Way,Action,2003,R,67,66,36,85,2888,44.1260,-98.4915,South Dakota
The Girl Toward Comfort,Final Cost,Fantasy,1985,R,74,36,94,1,434,41.88309,-88.32356,Illinois
The Couch Excepting Wealth,Huge Fish,Fantasy,1992,R,71,37,56,19,2037,34.9268,-90.8593,Arkansas
A Rocket As Fiction,Light Box,Horror,2021,PG-13,88,18,52,23,735,35.89145,-87.34529,Tennessee
The Woman Toward Truth,Pulling Sally,Romance,1995,G,118,51,95,53,2545,39.2871,-108.0842,Colorado
The Soldier Since Fear,Sound Circle,Thriller,2016,PG-13,75,97,71,98,2823,43.3666,-110.7458,Wyoming
The Alien Under Mercy,Somehow Here,Musical,1993,G,101,13,74,19,1222,28.07418,-82.47176,Florida
A Boy About Humor,Huge Fish,Horror,2002,PG-13,62,40,68,6,2001,46.2384,-105.9451,Montana
The Air At Consistency,Course Universe,Mystery,1976,G,103,16,70,77,204,39.7007,-104.6764,Colorado
A Soldier Around Speed,Fading Shrimp,Thriller,2000,R,67,67,18,34,2511,40.3639,-112.0839,Utah
The Lake Between Rhythm,Minute Sand,Fantasy,2002,PG,85,28,77,74,2988,40.63268,-73.68422,Connecticut
A Blade Including Hunger,Runaway Vehicle,Documentary,1980,R,108,45,66,40,854,33.9408,-106.1193,New Mexico
A Bug Opposite Calm,Fading Shrimp,Thriller,2006,G,70,46,4,5,2538,36.86265,-76.30077,Virginia
The Train Unlike Consistency,Silent Vision,Comedy,1974,PG-13,97,11,67,75,1183,40.4052,-104.1112,Colorado
A Bear Upon Time,Runaway Vehicle,Thriller,1990,PG-13,75,2,19,54,1804,34.0195,-118.2390,California
A Foot Including Wisdom,Runaway Vehicle,Thriller,2011,G,82,27,51,31,1063,37.63958,-79.6881,Virginia
The Train For Patience,Light Box,Drama,1985,PG,101,15,54,85,2376,35.4285,-106.3105,New Mexico
The Blade Of Feeling,Final Cost,Comedy,2009,PG-13,71,42,57,11,497,35.93201,-86.84639,Tennessee
The Shoe Into Calm,Yellow Dinner,Action,1999,PG-13,62,69,77,92,2954,46.5595,-109.0239,{}
A Fruit Before Wisdom,Huge Fish,Action,2022,G,113,47,65,88,1291,45.2812,-115.6360,Idaho
A Robot Around Fear,Fading Shrimp,Romance,2007,PG,104,15,80,26,585,39.15115,-87.16724,Indiana
The Airplane Into Respect,Runaway Vehicle,Comedy,1979,PG,73,66,32,8,1883,37.07952,-84.82384,Kentucky
The Cloud Despite Loss,Empty Mind,Thriller,1992,PG-13,116,45,2,68,639,33.2822,-108.9907,Arizona
A Moon Upon Wealth,Course Universe,Fantasy,1985,PG-13,97,94,0,24,2232,31.6701,-100.7622,Texas
A Soldier Until Speed,Solar Scratch,Horror,2022,PG-13,101,25,35,35,715,41.45806,-74.4325,New York
An Air Until Poverty,Final Cost,Documentary,1995,R,102,24,29,3,723,33.1646,-107.7711,New Mexico
An Air Onto Hell,Sure Way,Thriller,1994,PG-13,110,77,47,23,2242,26.28193,-80.12898,Florida
A House Around Luxury,Papersoft,Mystery,2010,PG-13,72,31,17,23,1332,38.47846,-77.99611,Virginia
A Thing Plus Calm,Empty Mind,Fantasy,1990,G,80,79,82,61,143,46.9499,-123.6600,Washington
The Thief With Control,Sound Circle,Romance,1987,PG,97,77,28,38,185,40.11011,-75.37963,Pennsylvania
An Alien To Uncertainty,Somehow Here,Comedy,1997,R,69,3,63,3,1218,34.82092,-86.99056,Alabama
An Atmosphere Among Reality,Light Box,Musical,1996,PG,96,69,89,87,1331,41.1493,-111.2667,Wyoming
The Train Amid Reality,Final Cost,Documentary,1983,R,77,48,79,51,2739,39.02175,-82.02903,Ohio
A Rocket Under Failure,Final Cost,Science Fiction,2000,PG-13,98,28,33,17,2880,33.7990,-117.8635,California
The Eye Underneath Wisdom,Solar Scratch,Fantasy,2009,PG,60,6,11,76,2802,27.2299,-98.3579,Texas
The House Across Honor,Minute Sand,Comedy,1999,PG,64,7,63,81,1327,36.16512,-82.15985,Tennessee
The Kite Toward Confusion,Somehow Here,Comedy,1978,PG,116,5,19,87,746,37.8860,-112.6226,Utah
A Child Between Happiness,Sure Way,Drama,1985,PG,102,24,67,30,2454,29.9167,-91.5437,Louisiana
The Airplane Along Fact,Final Cost,Musical,2016,G,97,21,51,75,2229,42.1700,-123.8623,Oregon
A Flower Like Pain,Empty Mind,Documentary,2018,G,73,87,0,93,1131,30.7702,-98.0770,Texas
